product_term_in_months,rate,effective_at
60,0.0372,2025-04-14 23:00:00 UTC
24,0.0352,2025-04-23 23:00:00 UTC
24,0.0352,2025-04-23 23:00:00 UTC
24,0.0352,2025-04-23 23:00:00 UTC
24,0.0352,2025-04-23 23:00:00 UTC
36,0.0353,2025-04-23 23:00:00 UTC
36,0.0353,2025-04-23 23:00:00 UTC
36,0.0353,2025-04-23 23:00:00 UTC
36,0.0353,2025-04-23 23:00:00 UTC
60,0.0364,2025-04-23 23:00:00 UTC
60,0.0364,2025-04-23 23:00:00 UTC
60,0.0364,2025-04-23 23:00:00 UTC
60,0.0364,2025-04-23 23:00:00 UTC
24,0.0354,2025-04-28 23:00:00 UTC
24,0.0354,2025-04-28 23:00:00 UTC
24,0.0354,2025-04-28 23:00:00 UTC
24,0.0354,2025-04-28 23:00:00 UTC
36,0.0354,2025-04-28 23:00:00 UTC
36,0.0354,2025-04-28 23:00:00 UTC
36,0.0354,2025-04-28 23:00:00 UTC
36,0.0354,2025-04-28 23:00:00 UTC
60,0.0362,2025-04-28 23:00:00 UTC
60,0.0362,2025-04-28 23:00:00 UTC
60,0.0362,2025-04-28 23:00:00 UTC
60,0.0362,2025-04-28 23:00:00 UTC
24,0.0344,2025-05-05 23:00:00 UTC
24,0.0344,2025-05-05 23:00:00 UTC
24,0.0344,2025-05-05 23:00:00 UTC
24,0.0344,2025-05-05 23:00:00 UTC
36,0.0345,2025-05-05 23:00:00 UTC
36,0.0345,2025-05-05 23:00:00 UTC
36,0.0345,2025-05-05 23:00:00 UTC
36,0.0345,2025-05-05 23:00:00 UTC
60,0.0354,2025-05-05 23:00:00 UTC
60,0.0354,2025-05-05 23:00:00 UTC
60,0.0354,2025-05-05 23:00:00 UTC
60,0.0354,2025-05-05 23:00:00 UTC
24,0.0357,2025-05-12 23:00:00 UTC
24,0.0357,2025-05-12 23:00:00 UTC
24,0.0357,2025-05-12 23:00:00 UTC
24,0.0357,2025-05-12 23:00:00 UTC
36,0.0358,2025-05-12 23:00:00 UTC
36,0.0358,2025-05-12 23:00:00 UTC
36,0.0358,2025-05-12 23:00:00 UTC
36,0.0358,2025-05-12 23:00:00 UTC
60,0.0367,2025-05-12 23:00:00 UTC
60,0.0367,2025-05-12 23:00:00 UTC
60,0.0367,2025-05-12 23:00:00 UTC
60,0.0367,2025-05-12 23:00:00 UTC
